tune_name	health_score	key_status	key_ok	time_ok	ashokan_tell	avg_grade	measure_count	omr_path
Old Joe Clark	107.68	present	True	True	False	0.884	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Old Joe Clark/clean.omr
Nail That Catfish to the Tree	107.69	present	True	True	False	0.8843	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Nail That Catfish to the Tree/clean.omr
Southwind	107.69	present	True	True	False	0.8843	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Southwind/clean.omr
Kitty McGee	107.72	present	True	True	False	0.8859	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Kitty McGee/clean.omr
Cluck Old Hen	107.74	present	True	True	False	0.8868	8	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Cluck Old Hen/clean.omr
Old Yeller Dog Come Trottin' Through the Meetinghouse	107.74	present	True	True	False	0.887	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Old Yeller Dog Come Trottin' Through the Meetinghouse/clean.omr
March of St. Timothy	107.75	present	True	True	False	0.8876	26	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/March of St. Timothy/clean.omr
Angeline the Baker	107.77	present	True	True	False	0.8883	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Angeline the Baker/clean.omr
Josefin's Dopvals	107.79	present	True	True	False	0.8896	44	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Josefin's Dopvals/clean.omr
Nixon's Farewell	107.79	present	True	True	False	0.8896	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Nixon's Farewell/clean.omr
Booth Shot Lincoln	107.8	present	True	True	False	0.8899	24	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Booth Shot Lincoln/clean.omr
Sailor's Wife, The	107.8	present	True	True	False	0.89	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sailor's Wife, The/clean.omr
Clearwater Stomp	107.84	present	True	True	False	0.892	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Clearwater Stomp/clean.omr
Elmer's Waltz	107.84	present	True	True	False	0.892	36	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Elmer's Waltz/clean.omr
Granny Will Your Dog Bite	107.85	present	True	True	False	0.8925	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Granny Will Your Dog Bite/clean.omr
Peekaboo Waltz	107.85	present	True	True	False	0.8925	31	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Peekaboo Waltz/clean.omr
Shove That Pig's Foot a Little Further in the Fire	107.86	present	True	True	False	0.8931	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Shove That Pig's Foot a Little Further in the Fire/clean.omr
Swedish Twostep	107.88	present	True	True	False	0.8941	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Swedish Twostep/clean.omr
Seneca Square Dance	107.89	present	True	True	False	0.8945	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Seneca Square Dance/clean.omr
Shoes and Stockings	107.92	present	True	True	False	0.8958	14	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Shoes and Stockings/clean.omr
Maggots in the Sheephide	107.94	present	True	True	False	0.8972	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Maggots in the Sheephide/clean.omr
Quarry Cross, The	107.94	present	True	True	False	0.8969	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Quarry Cross, The/clean.omr
Peacock Rag	107.95	present	True	True	False	0.8974	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Peacock Rag/clean.omr
Kittens on Catnip	107.96	present	True	True	False	0.8978	23	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Kittens on Catnip/clean.omr
Ookpik Waltz	107.96	present	True	True	False	0.8978	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Ookpik Waltz/clean.omr
Swing Your Partner	107.96	present	True	True	False	0.8978	23	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Swing Your Partner/clean.omr
A & E Waltz	108.0	present	True	True	False	0.9002	29	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/A & E Waltz/clean.omr
Bonaparte Crossing the Rhine	108.0	present	True	True	False	0.9002	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Bonaparte Crossing the Rhine/clean.omr
Red Apple Rag	108.0	present	True	True	False	0.8999	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Red Apple Rag/clean.omr
Barlow Knife	108.01	present	True	True	False	0.9007	24	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Barlow Knife/clean.omr
Laura Susan	108.01	present	True	True	False	0.9005	7	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Laura Susan/clean.omr
Skippin' Cat	108.01	present	True	True	False	0.9005	20	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Skippin' Cat/clean.omr
Star Above the Garter, The	108.01	present	True	True	False	0.9007	21	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Star Above the Garter, The/clean.omr
Cat in the Hopper	108.02	present	True	True	False	0.901	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Cat in the Hopper/clean.omr
Monkey in the Dogcart	108.02	absent	False	True	False	0.9008	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Monkey in the Dogcart/clean.omr
Red Wing	108.02	present	True	True	False	0.9009	23	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Red Wing/clean.omr
Me and My Fiddle	108.04	present	True	True	False	0.9022	8	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Me and My Fiddle/clean.omr
Chinese Breakdown	108.06	present	True	True	False	0.9031	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Chinese Breakdown/clean.omr
Over the Waterfall	108.06	present	True	True	False	0.9032	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Over the Waterfall/clean.omr
Pretty Little Dog	108.07	absent	False	True	False	0.9034	31	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Pretty Little Dog/clean.omr
Sierra Swing	108.07	present	True	True	False	0.9033	21	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sierra Swing/clean.omr
Coleman's March	108.08	present	True	True	False	0.9041	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Coleman's March/clean.omr
Midnight on the Water	108.08	present	True	True	False	0.9039	27	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Midnight on the Water/clean.omr
Campbell's Farewell to Red Gap	108.09	present	True	True	False	0.9047	35	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Campbell's Farewell to Red Gap/clean.omr
Dill Pickles Rag	108.09	present	True	True	False	0.9047	47	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Dill Pickles Rag/clean.omr
Old John Tate	108.1	present	True	True	False	0.9052	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Old John Tate/clean.omr
Texas	108.1	present	True	True	False	0.9049	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Texas/clean.omr
Riding on a Load of Hay	108.11	present	True	True	False	0.9056	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Riding on a Load of Hay/clean.omr
Liza Jane	108.12	present	True	True	False	0.9061	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Liza Jane/clean.omr
Tennessee Waltz	108.13	present	True	True	False	0.9066	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Tennessee Waltz/clean.omr
Road to Lisdoonvarna, The	108.15	present	True	True	False	0.9074	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Road to Lisdoonvarna, The/clean.omr
Fisher's Hornpipe	108.17	present	True	True	False	0.9083	7	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Fisher's Hornpipe/clean.omr
Eighth of January	108.18	present	True	True	False	0.9089	14	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Eighth of January/clean.omr
Hollow Poplar	108.18	present	True	True	False	0.9089	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Hollow Poplar/clean.omr
John Riley, the Shepherd	108.18	present	True	True	False	0.9091	20	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/John Riley, the Shepherd/clean.omr
Soldier's Joy	108.18	present	True	True	False	0.9088	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Soldier's Joy/clean.omr
Turkey in the Straw	108.18	present	True	True	False	0.9092	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Turkey in the Straw/clean.omr
Frosty Morning	108.19	present	True	True	False	0.9094	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Frosty Morning/clean.omr
Starry Night for a Ramble	108.19	present	True	True	False	0.9094	21	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Starry Night for a Ramble/clean.omr
Kitchen Girl	108.2	present	True	True	False	0.9099	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Kitchen Girl/clean.omr
Sleeping Giant Two-Step	108.2	present	True	True	False	0.9101	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sleeping Giant Two-Step/clean.omr
Chinquapin	108.21	present	True	True	False	0.9103	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Chinquapin/clean.omr
Stone's Rag	108.21	absent	False	True	False	0.9106	37	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Stone's Rag/clean.omr
Sally in the Garden	108.22	present	True	True	False	0.9109	20	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sally in the Garden/clean.omr
Sam and Elzie	108.22	present	True	True	False	0.9111	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sam and Elzie/clean.omr
Boggy Road to Texas, The	108.23	present	True	True	False	0.9116	25	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Boggy Road to Texas, The/clean.omr
Jimmy Allen	108.23	present	True	True	False	0.9116	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Jimmy Allen/clean.omr
Indian Point	108.24	present	True	True	False	0.9122	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Indian Point/clean.omr
Rights of Man	108.25	present	True	True	False	0.9126	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Rights of Man/clean.omr
star-above-the-garter2	108.25	present	True	True	False	0.9126	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/star-above-the-garter2/clean.omr
Demented Dog, The	108.26	present	True	True	False	0.913	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Demented Dog, The/clean.omr
Dorset Four Hand Reel	108.26	present	True	True	False	0.9129	20	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Dorset Four Hand Reel/clean.omr
Magpie	108.26	present	True	True	False	0.913	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Magpie/clean.omr
St. Anne's Reel	108.26	present	True	True	False	0.9132	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/St. Anne's Reel/clean.omr
Lonesome Moonlight Waltz	108.27	present	True	True	False	0.9133	28	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Lonesome Moonlight Waltz/clean.omr
Grasshopper Sittin' on a Sweet Potato Vine	108.28	present	True	True	False	0.9142	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Grasshopper Sittin' on a Sweet Potato Vine/clean.omr
Salmon Tails Up the Water	108.28	present	True	True	False	0.9139	24	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Salmon Tails Up the Water/clean.omr
Bouchard's Hornpipe	108.29	present	True	True	False	0.9146	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Bouchard's Hornpipe/clean.omr
Lost Indian	108.29	present	True	True	False	0.9144	25	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Lost Indian/clean.omr
Crooked Stovepipe	108.3	present	True	True	False	0.9148	24	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Crooked Stovepipe/clean.omr
Down in Little Egypt	108.3	absent	False	True	False	0.9151	21	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Down in Little Egypt/clean.omr
Mississippi Sawyer	108.3	present	True	True	False	0.9148	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Mississippi Sawyer/clean.omr
Road to Boston	108.3	present	True	True	False	0.915	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Road to Boston/clean.omr
Sadie at the Back Door	108.3	present	True	True	False	0.9149	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sadie at the Back Door/clean.omr
Year of Jubilo	108.3	present	True	True	False	0.9149	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Year of Jubilo/clean.omr
Arkansas Traveler	108.32	present	True	True	False	0.9158	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Arkansas Traveler/clean.omr
Off to California	108.32	present	True	True	False	0.9159	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Off to California/clean.omr
None of Your Business	108.33	absent	False	True	False	0.9164	21	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/None of Your Business/clean.omr
Sally's Got Mud Between Her Toes	108.33	present	True	True	False	0.9166	27	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sally's Got Mud Between Her Toes/clean.omr
Florida Blues	108.34	present	True	True	False	0.9168	27	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Florida Blues/clean.omr
Kesh Jig	108.34	present	True	True	False	0.9172	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Kesh Jig/clean.omr
Manitoba Golden Boy	108.34	present	True	True	False	0.9171	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Manitoba Golden Boy/clean.omr
Waverly Two-Step	108.34	present	True	True	False	0.917	57	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Waverly Two-Step/clean.omr
West Fork Gals	108.34	present	True	True	False	0.9172	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/West Fork Gals/clean.omr
Bottom of the Punchbowl, The	108.35	present	True	True	False	0.9176	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Bottom of the Punchbowl, The/clean.omr
Coleraine	108.35	absent	False	True	False	0.9174	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Coleraine/clean.omr
J. B. Milne	108.35	present	True	True	False	0.9175	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/J. B. Milne/clean.omr
seneca-square-dance 2	108.35	present	True	True	False	0.9177	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/seneca-square-dance 2/clean.omr
Porter's Reel	108.36	present	True	True	False	0.9181	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Porter's Reel/clean.omr
Farewell Trion	108.37	absent	False	True	False	0.9185	20	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Farewell Trion/clean.omr
